symbol,status,relative_points,note
KALYANKJIL,skipped,91,analysis: unchanged; comparison: unchanged
KANSAINER,skipped,16,analysis: unchanged; comparison: unchanged
KARURVYSYA,skipped,95,analysis: unchanged; comparison: unchanged
KAYNES,skipped,81,analysis: unchanged; comparison: unchanged
KEC,skipped,48,analysis: unchanged; comparison: unchanged
KEI,skipped,92,analysis: unchanged; comparison: unchanged
KFINTECH,skipped,68,analysis: unchanged; comparison: unchanged
KIMS,skipped,50,analysis: unchanged; comparison: unchanged
KIRLOSBROS,skipped,54,analysis: unchanged; comparison: unchanged
KIRLOSENG,skipped,81,analysis: unchanged; comparison: unchanged
KIRLPNU,skipped,81,analysis: unchanged; comparison: unchanged
KITEX,skipped,0,analysis: unchanged; comparison: unchanged
KNRCON,skipped,19,analysis: unchanged; comparison: unchanged
KOTAKBANK,skipped,29,analysis: unchanged; comparison: unchanged
KPIGREEN,skipped,100,analysis: unchanged; comparison: unchanged
KPIL,skipped,77,analysis: unchanged; comparison: unchanged
KPITTECH,skipped,72,analysis: unchanged; comparison: unchanged
KPRMILL,skipped,48,analysis: unchanged; comparison: unchanged
KRBL,skipped,25,analysis: unchanged; comparison: unchanged
KRN,skipped,100,analysis: unchanged; comparison: unchanged
KSB,skipped,62,analysis: unchanged; comparison: unchanged
KSCL,skipped,22,analysis: unchanged; comparison: unchanged
KTKBANK,skipped,20,analysis: unchanged; comparison: unchanged
LALPATHLAB,skipped,54,analysis: unchanged; comparison: unchanged
LATENTVIEW,skipped,44,analysis: unchanged; comparison: unchanged
LAURUSLABS,skipped,68,analysis: unchanged; comparison: unchanged
LEMONTREE,skipped,75,analysis: unchanged; comparison: unchanged
LENSKART,skipped,100,analysis: unchanged; comparison: unchanged
LGEINDIA,skipped,17,analysis: unchanged; comparison: unchanged
LICHSGFIN,skipped,44,analysis: unchanged; comparison: unchanged
LICI,skipped,61,analysis: unchanged; comparison: unchanged
LINDEINDIA,skipped,75,analysis: unchanged; comparison: unchanged
LLOYDSENGG,skipped,100,analysis: unchanged; comparison: unchanged
LLOYDSENT,skipped,90,analysis: unchanged; comparison: unchanged
LLOYDSME,skipped,90,analysis: unchanged; comparison: unchanged
LODHA,skipped,70,analysis: unchanged; comparison: unchanged
LOTUSDEV,skipped,75,analysis: unchanged; comparison: unchanged
LT,skipped,54,analysis: unchanged; comparison: unchanged
LTF,skipped,82,analysis: unchanged; comparison: unchanged
LTFOODS,skipped,71,analysis: unchanged; comparison: unchanged
LTM,skipped,52,analysis: unchanged; comparison: unchanged
LTTS,skipped,27,analysis: unchanged; comparison: unchanged
LUMAXTECH,skipped,100,analysis: unchanged; comparison: unchanged
LUPIN,skipped,75,analysis: unchanged; comparison: unchanged
LXCHEM,skipped,6,analysis: unchanged; comparison: unchanged
MAHABANK,skipped,88,analysis: unchanged; comparison: unchanged
MAHSCOOTER,skipped,82,analysis: unchanged; comparison: unchanged
MAHSEAMLES,skipped,36,analysis: unchanged; comparison: unchanged
MANAPPURAM,skipped,33,analysis: unchanged; comparison: unchanged
MANKIND,skipped,46,analysis: unchanged; comparison: unchanged
MANORAMA,skipped,100,analysis: unchanged; comparison: unchanged
MANYAVAR,skipped,58,analysis: unchanged; comparison: unchanged
MAPMYINDIA,skipped,38,analysis: unchanged; comparison: unchanged
MARICO,skipped,38,analysis: unchanged; comparison: unchanged
MARKSANS,skipped,62,analysis: unchanged; comparison: unchanged
MARUTI,skipped,56,analysis: unchanged; comparison: unchanged
MASTEK,skipped,50,analysis: unchanged; comparison: unchanged
MAXHEALTH,skipped,75,analysis: unchanged; comparison: unchanged
MAZDOCK,skipped,82,analysis: unchanged; comparison: unchanged
MCX,skipped,100,analysis: unchanged; comparison: unchanged
MEDANTA,skipped,65,analysis: unchanged; comparison: unchanged
MEDPLUS,skipped,97,analysis: unchanged; comparison: unchanged
MEESHO,skipped,75,analysis: unchanged; comparison: unchanged
METROPOLIS,skipped,44,analysis: unchanged; comparison: unchanged
MFSL,skipped,29,analysis: unchanged; comparison: unchanged
MGL,skipped,14,analysis: unchanged; comparison: unchanged
MIDHANI,skipped,21,analysis: unchanged; comparison: unchanged
MINDACORP,skipped,79,analysis: unchanged; comparison: unchanged
