nse_symbol,isin_source,name_source
SHREECEM,groww_master,nifty500_master
SHRIPISTON,groww_master,groww_master
SHRIRAMFIN,groww_master,nifty500_master
SHYAMMETL,groww_master,nifty500_master
SIEMENS,groww_master,nifty500_master
SIGNATURE,groww_master,nifty500_master
SJVN,groww_master,nifty500_master
SKFINDIA,groww_master,groww_master
SKFINDUS,groww_master,groww_master
SKIPPER,groww_master,groww_master
SKYGOLD,groww_master,groww_master
SMARTWORKS,groww_master,groww_master
SMLMAH,groww_master,groww_master
SOBHA,groww_master,nifty500_master
SOLARINDS,groww_master,nifty500_master
SONACOMS,groww_master,nifty500_master
SONATSOFTW,groww_master,nifty500_master
SOUTHBANK,groww_master,groww_master
SPARC,groww_master,groww_master
SPLPETRO,groww_master,nifty500_master
SRF,groww_master,nifty500_master
STAR,groww_master,groww_master
STARCEMENT,groww_master,groww_master
STARHEALTH,groww_master,nifty500_master
STLTECH,groww_master,groww_master
STYL,groww_master,groww_master
STYRENIX,groww_master,groww_master
SUBROS,groww_master,groww_master
SUDARSCHEM,groww_master,groww_master
SUDEEPPHRM,groww_master,groww_master
SUMICHEM,groww_master,nifty500_master
SUNDARMFIN,groww_master,nifty500_master
SUNPHARMA,groww_master,nifty500_master
SUNTECK,groww_master,groww_master
SUNTV,groww_master,nifty500_master
SUPREMEIND,groww_master,nifty500_master
SUPRIYA,groww_master,groww_master
SURYAROSNI,groww_master,groww_master
SUZLON,groww_master,nifty500_master
SWANCORP,groww_master,nifty500_master
SWIGGY,groww_master,nifty500_master
SWSOLAR,groww_master,groww_master
SYNGENE,groww_master,nifty500_master
SYRMA,groww_master,nifty500_master
TANLA,groww_master,groww_master
TARC,groww_master,groww_master
TARIL,groww_master,nifty500_master
TATACAP,groww_master,nifty500_master
TATACHEM,groww_master,nifty500_master
TATACOMM,groww_master,nifty500_master
TATACONSUM,groww_master,nifty500_master
TATAELXSI,groww_master,nifty500_master
TATAINVEST,groww_master,nifty500_master
TATAPOWER,groww_master,nifty500_master
TATASTEEL,groww_master,nifty500_master
TATATECH,groww_master,nifty500_master
TBOTEK,groww_master,nifty500_master
TCS,groww_master,nifty500_master
TDPOWERSYS,groww_master,groww_master
TECHM,groww_master,nifty500_master
TECHNOE,groww_master,nifty500_master
TEGA,groww_master,nifty500_master
TEJASNET,groww_master,nifty500_master
TENNIND,groww_master,nifty500_master
TEXRAIL,groww_master,groww_master
THANGAMAYL,groww_master,groww_master
THELEELA,groww_master,nifty500_master
THERMAX,groww_master,nifty500_master
THOMASCOOK,groww_master,groww_master
THYROCARE,groww_master,groww_master
TI,groww_master,groww_master
TIINDIA,groww_master,nifty500_master
TIMETECHNO,groww_master,groww_master
TIMKEN,groww_master,nifty500_master
TIPSMUSIC,groww_master,groww_master
TITAGARH,groww_master,nifty500_master
TITAN,groww_master,nifty500_master
TMB,groww_master,groww_master
TMCV,groww_master,nifty500_master
TMPV,groww_master,nifty500_master
TORNTPHARM,groww_master,nifty500_master
TORNTPOWER,groww_master,nifty500_master
TRANSRAILL,groww_master,groww_master
TRAVELFOOD,groww_master,nifty500_master
TRENT,groww_master,nifty500_master
TRIDENT,groww_master,nifty500_master
TRITURBINE,groww_master,nifty500_master
TRIVENI,groww_master,groww_master
TSFINV,groww_master,groww_master
TTML,groww_master,nifty500_master
TVSMOTOR,groww_master,nifty500_master
TVSSCS,groww_master,groww_master
UBL,groww_master,nifty500_master
UCOBANK,groww_master,nifty500_master
UJJIVANSFB,groww_master,groww_master
ULTRACEMCO,groww_master,nifty500_master
UNIONBANK,groww_master,nifty500_master
UNITDSPR,groww_master,nifty500_master
UNOMINDA,groww_master,nifty500_master
